source: Stockwell et al. "A new mechanism for regional atmospheric chemistry modeling", 1997
==================================
category,emission,racm,aggregation,edgarspec
1,methane,CH4,1.00,null
2,ethane,ETH,1.00,voc2
3,propane,HC3,0.57,voc3
4,alkanes_17,HC3,1.11,voc4
5,alkanes_34,HC5,0.97,voc6
6,alkanes_68,HC8,0.94,null
7,alkanes_136,HC8,1.14,null
8a,alkane_aroma_1,HC8,0.91,null
8b,alkane_aroma_2,XYL,0.09,null
9,ethene,ETE,1.00,null
10,propene,OLT,1.00,voc8
11,alkenes_prim,OLT,1.00
12,alkenes_inter,OLI,1.00
13a,alkenes_mix_1,OLI,0.5
13b,alkenes_mix_2,OLT,0.5
14,benzene,TOL,0.29,voc13
15,aromatics_l136,TOL,1.00,voc14
16,aromatics_g136,XYL,1.00,voc15
17,phenols_cresols,CSL,1.00
18a,styrenes_1,OLT,1.00
18b,styrenes_2,TOL,1.00,voc16
19,formaldehyde,HCHO,1.00,voc21
20,high_aldehydes,ALD,1.00,voc22
21,acetone,KET,0.33
22,high_ketones,KET,1.61
23,organic_acid,ORA2,1.00,voc24
24,acetylene,HC3,0.41,voc9
25,haloalkenes,HC3,0.44
26,unreactive,0,0
27,oth_HO_l17,HC3,0.49
28,oth_HO_g17,HC3,1.37,voc1
29,oth_HO_34,HC5,1.07
30,oth_HO_g68,HC8,1.15
31,unidentified,dummy,0,0
32,nodata,dummy,1.0,voc20
33,nodata2,dummy,1.0,voc18
34,addon1,HC8,0.97,voc19
35,addon2,HC5,0.97,voc5
36,other_aromatic,XYL,1.00,voc17
37,changed,KET,1.0,voc23
